_id,latLng,name,city,state,country,updatedAt
ald9QlBmsP,"41.1638891,-104.834033",Airport Golf Course,Cheyenne,Wyoming,US,2024-02-09T00:00:00.000Z
B4a9yFTbAn,"39.9936993,-82.86708",Airport Golf Course,Columbus,Ohio,US,2024-02-09T00:00:00.000Z
pZYbkFUmC6,"40.8798946,-103.747193",Airport Greens Golf Course,Willoughby Hills,Ohio,US,2024-02-09T00:00:00.000Z
wQs0oCSQnT,"41.8889562,-91.6269314",Airport National Golf Course,Cedar Rapids,Iowa,US,2024-02-09T00:00:00.000Z
gWmVXTsej1,"43.1798423,-73.6370744",Airway Meadows Golf Club,Gansevoort,New York,US,2024-02-09T00:00:00.000Z
c0m5Wotd9G,"41.9620093,-72.7146051",Airways Golf,West Suffield,Connecticut,US,2024-02-09T00:00:00.000Z
4G5dGG2Qvx,"36.7780041,-119.710214",Airways Golf Club,Fresno,California,US,2024-02-09T00:00:00.000Z
YiEx8s6NNx,"33.0795244,-112.085154",Ak-Chin Southern Dunes Golf Club,Maricopa,Arizona,US,2024-02-11T05:00:00.000Z
ABnNmHg5EM,"41.2472577,-96.0070569",Aksarben/Elmwood Park,Omaha,Nebraska,US,2024-02-11T05:00:00.000Z
uh3qSWOGUU,"21.2777101,-157.821461",Ala Wai Golf Course,Honolulu,Hawaii,US,2024-02-09T00:00:00.000Z
pzkML7aqgw,"36.0909781,-79.4912642",Alamance Country Club,Burlington,North Carolina,US,2024-02-09T00:00:00.000Z
oDlwc51F3T,"29.6079763,-98.8048339",Alamo City Golf Trail,San Antonio,Texas,US,2024-02-09T00:00:00.000Z
LbB3u50L49,"39.3707702,-74.5449095",Alantic City Country Club,Northfield,New Jersey,US,2024-02-09T00:00:00.000Z
mu1TRJlFKU,"29.6053564,-85.0417239",Alaqua Country Club,Longwood,Florida,US,2024-02-09T00:00:00.000Z
GaUUiOdiAT,"61.59875179,-149.218831",Alaska Benteh Capital,Palmer,Alaska,US,2024-02-11T05:00:00.000Z
lDgbEMGVpD,"44.5448789,-87.4961105",Alaskan Golf Club,Kewaunee,Wisconsin,US,2024-02-09T00:00:00.000Z
RHG5SxWpwu,"42.6816559,-73.9252903",Albany Country Club,Voorheesville,New York,US,2024-02-09T00:00:00.000Z
FLRnHC3BLS,"44.660704,-123.103809",Albany Golf & Event Center / Spring Hill Golf Club,Albany,Oregon,US,2024-02-11T05:00:00.000Z
yWKCPKAuHx,"40.3093967,-85.2286901",Albany Golf Club,Albany,Indiana,US,2024-02-09T00:00:00.000Z
qtTKAV4q7F,"45.6244067,-94.5651489",Albany Golf Club,Albany,Minnesota,US,2024-02-09T00:00:00.000Z
KaA5VEFvIF,"41.0325922,-92.7868656",Albia Golf and Leisure,Albia,Iowa,US,2024-02-09T00:00:00.000Z
