_id,latLng,name,searchableName,city,state
ZjGsNX6LsP,"-100.012871,32.470676",Tin Cup,tin cup,Merkel,Texas
9RXJPTLEmx,"-100.107346,44.326603",Hillsview Golf Course,hillsview golf course,Pierre,South Dakota
gbSjzYHT1g,"-100.164581,40.289448",Cross Creek Golf Links,cross creek golf links,Cambridge,Nebraska
WRxNLUd9eX,"-100.191025,34.435341",Stoney Ridge,stoney ridge,Childress,Texas
Q5hxwFLa1P,"-100.413925,48.863548",Bottineau Country Club,bottineau country club,Bottineau,North Dakota
